,Tweets,len,ID,Date,Source,Likes,coordinates,timestamp,SA
56,"RT @jorditurull: Querelles, 155, empresonaments, i ara... de nou l’exèrcit. Heus aquí la proposta de l’Estat per Catalunya. Menys amenaces…",139,950004886682394625,2018-01-07 14:03:09,Twitter for Android,0,,2018-01-07,0
57,RT @nytimesworld: King Juan Carlos came to Spain's throne with almost no money in 1975. Now the family's wealth is up to $2.3 billion http:…,140,950004268932755457,2018-01-07 14:00:42,Twitter for Android,0,,2018-01-07,0
58,"RT @ganyet: Muntar claveguera: 200.000 € any de sou + 82.054 € mes de lloguer a Central Park. 

Per tota la resta: Estremera.
 https://t.co…",140,950004218831745025,2018-01-07 14:00:30,Twitter for Android,0,,2018-01-07,0
59,"The Spanish Supreme Court is a disgrace that any democrat would feel ashamed of, because it is a mockery of justice… https://t.co/lWtsotYMRg",140,949325480318193666,2018-01-05 17:03:26,Twitter for Android,10462,,2018-01-05,0
60,"RT @junqueras: Junqueras:

""En aquests dies que vindran, mantingueu-vos forts i units. Transformeu la indignació en coratge i perseverança.…",140,949325059054800903,2018-01-05 17:01:46,Twitter for Android,0,,2018-01-05,0
61,La interlocutòria del Tribunal Suprem és un escàndol que fa avergonyir qualsevol demòcrata amb un mínim sentit de l… https://t.co/bJygXYjDcl,140,949290333061468161,2018-01-05 14:43:47,Twitter for Android,25957,,2018-01-05,0
62,Hi ha un conflicte a resoldre entre Catalunya i Espanya. Nosaltres hem apostat sempre per la via pacífica i el diàl… https://t.co/S8Nf8NWLni,140,949251306354544642,2018-01-05 12:08:42,Twitter for Android,15597,,2018-01-05,0
63,"RT @assemblea: ? Aquest dijous a les 20 h, sigui quina sigui la decisió del TS, tots a les capitals de comarca ? Som al teu costat, @junque…",140,948874711118897152,2018-01-04 11:12:15,Twitter for Android,0,,2018-01-04,0
64,"El que s'explica i es debat als Estats Units, a Espanya en diuen adocritament i et porta a declarar davant de la Gu… https://t.co/JF5AFBeX2x",140,948496739689955328,2018-01-03 10:10:19,Twitter for Android,12302,,2018-01-03,0
65,RT @joseprull: Podrien deixar que quatre pares innocents (dos dels quals amb fills petits) poguessin gaudir de la cavalcada dels Reis Mags…,139,948495585178476545,2018-01-03 10:05:44,Twitter for Android,0,,2018-01-03,0
66,"RT @speechanddebate: The 2018 January PF topic is, Resolved: Spain should grant Catalonia its independence. 407 schools and 1,502 students…",139,948495565578539015,2018-01-03 10:05:39,Twitter for Android,0,,2018-01-03,0
67,RT @324cat: 33 dels 40 programes més vistos de l'any a Catalunya són de TV3. A més som la cadena generalista més ben valorada pels espectad…,140,948495452072181760,2018-01-03 10:05:12,Twitter for Android,0,,2018-01-03,0
68,RT @ARTEfr: Barcelone VS Madrid : une civilisation fragmentée par deux idéaux. ?? https://t.co/62xhiZNrW6 https://t.co/tkFzoqOMuw,129,948495237202300930,2018-01-03 10:04:21,Twitter for Android,0,,2018-01-03,0
69,"RT @vilallongapac: Atenció a la dada: l'Estat ha de demanar un préstec de 16.000M€ per pagar les pensions de 2018. O sigui, el sistema de p…",140,948495140087353345,2018-01-03 10:03:58,Twitter for Android,0,,2018-01-03,0
70,"RT @oriolamat: Ojo al exceso de manipulación:
La organización internacional Democracy Volunteers critica la parcialidad de mayoría de medio…",140,948495079047561216,2018-01-03 10:03:43,Twitter for Android,0,,2018-01-03,0
71,Vull començar el 2018 recordant que a Espanya hi ha #PresosPolítics per defensar les seves idees. És el moment que… https://t.co/kMdoa6fDGP,139,947780882026332160,2018-01-01 10:45:45,Twitter for Android,22761,,2018-01-01,0
72,"Fracassada la recepta de la violència, de la repressió i del 155, ha de començar l'era del diàleg i la negociació.… https://t.co/PbW6XQDVFD",139,947193200493649920,2017-12-30 19:50:31,Twitter Web Client,20156,,2017-12-30,0
73,"Avui a les 21h podreu seguir el meu discurs de #capdany als meus perfils de Twitter, Facebook i Instagram.",106,947120740322762755,2017-12-30 15:02:35,Twitter for Android,18007,,2017-12-30,0
74,"En record del #presidentMacià, que va demanar als catalans que sabéssim fer-nos dignes de #Catalunya, renovem els n… https://t.co/ThW6Q0swAL",140,945245814150041600,2017-12-25 10:52:18,Twitter for Android,13381,,2017-12-25,0
75,"RT @joseprull: Avui dia de Nadal, amb @jorditurull, fem l'ofrena a la tomba del President Macià en representació del 130è President de la G…",140,945245051797540865,2017-12-25 10:49:16,Twitter for Android,0,,2017-12-25,0
76,Aquesta nit el rei té una oportunitat per començar la rectificació. Espero que aquesta vegada no la perdi.,106,944977214436794368,2017-12-24 17:04:59,Twitter for Android,14922,,2017-12-24,0
77,"Acabem la millor setmana en molt de temps amb una alegria esportiva, i pensant també en com ho hauran gaudit en Quim, l’Oriol i els Jordis.",139,944585044143853568,2017-12-23 15:06:38,Twitter for Android,22971,,2017-12-23,0
78,"La #RepúblicaCatalana ha derrotat la monarquia del 155. Ara cal una rectificació, una reparació i una restitució. L… https://t.co/EioDJkDU1E",140,943993595165540352,2017-12-21 23:56:26,Twitter for Android,23779,,2017-12-21,0
79,"Avui és un dia molt important, no per la Catalunya d'avui sinó per la #Catalunya del futur. I tu Laura representes… https://t.co/NAfkeVvBic",139,943799536794955776,2017-12-21 11:05:19,Twitter for Android,14927,,2017-12-21,1
80,Avui demostrarem de nou la força d'un poble irreductible. Que l'esperit de l'#1oct ens guïi sempre #JuntsxCat #21D https://t.co/tN6miNOIcS,138,943764175716790272,2017-12-21 08:44:48,Twitter for Android,11418,,2017-12-21,0
81,"RT @junqueras: Estimada Neus,
Avui voldria ser amb tu i els nens amb més motius que mai, la casualitat ha volgut que avui faci quatre que e…",140,943763934317830147,2017-12-21 08:43:50,Twitter for Android,0,,2017-12-21,0
82,RT @punsix: Cua a les portes de la sala on es vota a Sant Julià de Ramis. A dins hi ha dues meses amb una urna a cada una. L’habitació està…,140,943763065304158208,2017-12-21 08:40:23,Twitter for Android,0,,2017-12-21,0
83,RT @JuntsXCat: #megamíting - El President té un missatge per a tu. https://t.co/KXOXydtPXP,90,943202447706779649,2017-12-19 19:32:42,Twitter for Android,0,,2017-12-19,0
